Iso3,Country,Year,Happiness Rank,Happiness Score,GDP Contribution,Life Expectancy Contribution,Corruption Impact,Health Expenditure (% GDP),Health Expenditure (per capita),GDP per Capita,Education Expenditure (% GDP),Adult Literacy %,Primary School Enrollment %,Secondary School Enrollment %,Tertiary School Enrollment %,Income Level,Region,longitude,latitude
SLE,Sierra Leone,2021,140,3.574,0.686,0.273,0.055,8.55,44.9,886.19,5.6,,157.71,73.43,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
SLE,Sierra Leone,2022,135,3.138,0.67,0.092,0.051,7.95,39.32,860.77,4.91,,163.17,,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
SLE,Sierra Leone,2023,140,3.245,0.654,0.253,0.053,,,757.85,2.62,,159.42,86.91,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
SLE,Sierra Leone,2024,146,2.998,0.786,0.327,0.052,,,873.39,,,162.12,,,Low income,Sub-Saharan Africa ,-13.2134,8.4821
SLV,El Salvador,2019,34,6.348,0.749,0.753,0.117,8.81,380.53,4320.12,3.39,89.14,91.63,64.85,28.52,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SLV,El Salvador,2020,49,6.061,0.845,0.565,0.16,8.95,357.79,3997.19,3.66,89.98,90.66,65.18,31.0,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SLV,El Salvador,2021,49,6.12,1.265,0.607,0.212,10.13,470.14,4642.61,3.58,89.06,89.08,64.98,30.3,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SLV,El Salvador,2022,50,6.122,1.278,0.383,0.222,9.84,501.24,5074.6,3.26,89.35,89.13,65.23,31.45,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SLV,El Salvador,2023,33,6.469,1.265,0.549,0.253,,,5365.44,3.17,89.85,90.88,65.57,32.38,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SLV,El Salvador,2024,37,6.492,1.222,0.559,0.264,,,5579.66,,89.77,89.88,62.14,32.83,Upper middle income,Latin America & Caribbean ,-89.2073,13.7034
SRB,Serbia,2019,64,5.778,0.988,0.828,0.059,8.67,641.03,7755.63,3.46,99.48,99.64,94.47,67.79,Upper middle income,Europe & Central Asia,20.4656,44.8024
SRB,Serbia,2020,48,6.078,1.101,0.634,0.066,8.7,670.19,8098.71,,,97.71,92.24,68.14,Upper middle income,Europe & Central Asia,20.4656,44.8024
SRB,Serbia,2021,43,6.178,1.55,0.658,0.088,10.01,919.17,9680.53,3.15,,96.81,92.38,69.18,Upper middle income,Europe & Central Asia,20.4656,44.8024
SRB,Serbia,2022,44,6.144,1.552,0.424,0.081,9.66,903.12,10022.97,3.08,99.34,96.63,91.95,69.8,Upper middle income,Europe & Central Asia,20.4656,44.8024
SRB,Serbia,2023,37,6.411,1.538,0.585,0.101,,,12281.51,3.4,,,,73.21,Upper middle income,Europe & Central Asia,20.4656,44.8024
SRB,Serbia,2024,31,6.606,1.489,0.545,0.107,,,13523.72,,,,,,Upper middle income,Europe & Central Asia,20.4656,44.8024
SSD,South Sudan,2019,152,2.817,0.289,0.209,0.111,9.04,35.07,,,,,,,Low income,Sub-Saharan Africa ,31.6,4.85
SVN,Slovenia,2019,33,6.363,1.209,0.933,0.077,8.49,2219.1,25814.17,4.93,,99.84,111.37,76.47,High income,Europe & Central Asia,14.5044,46.0546
SVN,Slovenia,2020,29,6.461,1.36,0.722,0.085,9.43,2417.21,25392.07,5.42,,100.23,110.36,75.82,High income,Europe & Central Asia,14.5044,46.0546
SVN,Slovenia,2021,22,6.63,1.81,0.769,0.115,9.48,2779.57,29187.37,5.39,,99.78,108.18,82.24,High income,Europe & Central Asia,14.5044,46.0546
SVN,Slovenia,2022,22,6.65,1.815,0.532,0.113,9.61,2737.85,28373.84,5.28,,100.64,107.87,82.39,High income,Europe & Central Asia,14.5044,46.0546
SVN,Slovenia,2023,21,6.743,1.786,0.695,0.131,9.41,3033.32,32610.11,,,100.88,107.63,80.08,High income,Europe & Central Asia,14.5044,46.0546
SVN,Slovenia,2024,19,6.792,1.692,0.802,0.113,,,34089.35,,,,,,High income,Europe & Central Asia,14.5044,46.0546
SWE,Sweden,2019,7,7.353,1.322,0.986,0.442,10.83,5652.99,51773.05,7.66,,120.6,136.64,75.11,High income,Europe & Central Asia,18.0645,59.3327
SWE,Sweden,2020,7,7.363,1.478,0.763,0.448,11.33,6003.09,52653.76,7.95,,119.5,136.43,79.12,High income,Europe & Central Asia,18.0645,59.3327
SWE,Sweden,2021,7,7.384,1.92,0.803,0.512,11.1,6842.46,61174.97,7.6,,117.35,138.69,85.94,High income,Europe & Central Asia,18.0645,59.3327
SWE,Sweden,2022,6,7.395,1.921,0.562,0.52,10.5,5943.36,55296.94,7.32,,116.43,139.41,83.9,High income,Europe & Central Asia,18.0645,59.3327
SWE,Sweden,2023,4,7.344,1.878,0.724,0.524,10.89,6152.33,55567.09,,,115.02,134.24,81.4,High income,Europe & Central Asia,18.0645,59.3327
SWE,Sweden,2024,4,7.345,1.783,0.889,0.467,,,57723.23,,,,,,High income,Europe & Central Asia,18.0645,59.3327
SWZ,Eswatini,2019,132,4.308,0.828,0.216,0.147,8.4,320.05,3913.13,5.7,,123.6,,,Lower middle income,Sub-Saharan Africa ,31.4659,-26.5225
SWZ,Eswatini,2020,130,4.308,0.849,0.074,0.147,7.08,236.25,3454.78,5.33,,,,,Lower middle income,Sub-Saharan Africa ,31.4659,-26.5225
SWZ,Eswatini,2021,125,4.396,1.274,0.197,0.154,7.38,296.83,3966.3,5.29,,,,,Lower middle income,Sub-Saharan Africa ,31.4659,-26.5225
SWZ,Eswatini,2023,134,3.502,1.255,0.176,0.116,,,3741.69,5.0,,116.53,,,Lower middle income,Sub-Saharan Africa ,31.4659,-26.5225
SWZ,Eswatini,2024,137,3.774,1.183,0.038,0.13,,,3936.11,6.03,,,,,Lower middle income,Sub-Saharan Africa ,31.4659,-26.5225
TCD,Chad,2019,127,4.423,0.302,0.109,0.086,3.38,30.24,893.34,2.37,30.63,83.26,20.19,,Low income,Sub-Saharan Africa ,15.0445,12.1048
TCD,Chad,2020,128,4.355,0.255,0.0,0.084,4.45,37.73,866.95,2.74,,,,4.4,Low income,Sub-Saharan Africa ,15.0445,12.1048
TCD,Chad,2021,130,4.251,0.662,0.225,0.077,4.18,37.59,946.36,2.89,,86.15,23.15,,Low income,Sub-Saharan Africa ,15.0445,12.1048
TCD,Chad,2022,114,4.397,0.622,0.043,0.088,4.53,40.17,966.04,2.6,,87.03,,,Low income,Sub-Saharan Africa ,15.0445,12.1048
TCD,Chad,2023,113,4.471,0.603,0.199,0.113,,,989.06,3.2,,88.34,24.19,,Low income,Sub-Saharan Africa ,15.0445,12.1048
TCD,Chad,2024,119,4.384,0.592,0.242,0.111,,,1016.09,,,88.46,23.49,,Low income,Sub-Saharan Africa ,15.0445,12.1048
TGO,Togo,2019,135,4.187,0.268,0.343,0.115,5.91,48.85,826.26,4.2,66.54,117.75,,13.16,Low income,Sub-Saharan Africa ,1.2255,6.1228
TGO,Togo,2020,136,4.107,0.254,0.203,0.107,6.19,52.75,853.58,4.09,,119.27,,14.9,Low income,Sub-Saharan Africa ,1.2255,6.1228
TGO,Togo,2021,135,4.112,0.771,0.36,0.132,5.62,52.72,939.61,4.23,,116.97,63.07,,Low income,Sub-Saharan Africa ,1.2255,6.1228
TGO,Togo,2022,122,4.137,0.77,0.161,0.136,6.04,54.01,898.76,3.78,72.6,118.42,,,Low income,Sub-Saharan Africa ,1.2255,6.1228
TGO,Togo,2023,124,4.214,0.758,0.32,0.156,,,985.7,4.14,,116.34,63.42,,Low income,Sub-Saharan Africa ,1.2255,6.1228
TGO,Togo,2024,127,4.315,0.757,0.378,0.153,,,1043.14,,,114.27,,,Low income,Sub-Saharan Africa ,1.2255,6.1228
THA,Thailand,2019,54,5.999,1.007,0.794,0.032,3.79,288.31,7605.7,3.02,91.27,103.01,81.72,44.99,Upper middle income,East Asia & Pacific,100.521,13.7308
THA,Thailand,2020,54,5.985,1.107,0.596,0.028,4.36,304.38,6985.64,3.15,,103.86,82.37,42.59,Upper middle income,East Asia & Pacific,100.521,13.7308
THA,Thailand,2021,61,5.891,1.535,0.697,0.026,5.15,363.73,7057.21,2.98,,103.62,84.66,43.47,Upper middle income,East Asia & Pacific,100.521,13.7308
THA,Thailand,2022,60,5.843,1.515,0.461,0.013,5.35,369.98,6909.35,2.61,91.1,104.83,88.07,43.29,Upper middle income,East Asia & Pacific,100.521,13.7308
THA,Thailand,2023,58,5.976,1.484,0.62,0.024,,,7195.1,2.52,,102.57,93.34,45.44,Upper middle income,East Asia & Pacific,100.521,13.7308
THA,Thailand,2024,49,6.222,1.426,0.633,0.039,,,7345.14,,,101.0,92.51,44.98,Upper middle income,East Asia & Pacific,100.521,13.7308
TJK,Tajikistan,2019,71,5.556,0.475,0.681,0.222,6.95,60.52,871.02,5.48,,,,,Lower middle income,Europe & Central Asia,68.7864,38.5878
TJK,Tajikistan,2020,78,5.466,0.508,0.498,0.247,8.89,74.17,834.31,5.14,,100.4,90.9,34.67,Lower middle income,Europe & Central Asia,68.7864,38.5878
TJK,Tajikistan,2021,83,5.377,0.966,0.518,0.304,8.38,75.1,896.75,4.38,,100.37,91.28,37.42,Lower middle income,Europe & Central Asia,68.7864,38.5878
TJK,Tajikistan,2022,80,5.33,0.972,0.291,0.292,7.63,78.61,1052.18,5.4,,99.97,90.89,37.28,Lower middle income,Europe & Central Asia,68.7864,38.5878
TJK,Tajikistan,2024,89,5.411,0.914,0.658,0.342,,,1341.2,,,95.76,86.9,35.64,Lower middle income,Europe & Central Asia,68.7864,38.5878
TKM,Turkmenistan,2019,95,5.119,1.009,0.612,0.034,5.55,432.78,6648.03,3.12,,99.54,84.11,11.05,Upper middle income,Europe & Central Asia,58.3794,37.9509
TKM,Turkmenistan,2020,97,5.066,1.046,0.439,0.033,5.57,420.01,6592.6,3.76,,100.05,86.81,12.41,Upper middle income,Europe & Central Asia,58.3794,37.9509
TKM,Turkmenistan,2021,78,5.474,1.484,0.516,0.032,5.49,471.86,7051.2,3.85,,99.15,89.93,14.54,Upper middle income,Europe & Central Asia,58.3794,37.9509
TTO,Trinidad and Tobago,2019,42,6.192,1.168,0.659,0.015,6.85,1097.21,17293.47,3.55,,,,,High income,Latin America & Caribbean ,-61.4789,10.6596
TTO,Trinidad and Tobago,2024,70,5.905,1.549,0.419,0.001,,,19314.72,,,,,,High income,Latin America & Caribbean ,-61.4789,10.6596
TUN,Tunisia,2019,128,4.392,0.875,0.781,0.044,6.02,212.6,3528.87,6.17,80.55,,,31.44,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUN,Tunisia,2020,122,4.596,0.919,0.59,0.044,7.05,250.46,3548.65,7.27,,103.98,,32.52,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUN,Tunisia,2021,120,4.516,1.35,0.656,0.029,6.98,270.34,3906.94,6.68,83.68,104.34,,33.27,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUN,Tunisia,2022,110,4.497,1.333,0.422,0.016,6.96,265.85,3708.85,6.8,,104.06,,37.13,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUN,Tunisia,2023,115,4.422,1.306,0.579,0.018,,,3950.38,6.73,86.25,104.42,,38.12,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUN,Tunisia,2024,113,4.552,1.257,0.459,0.05,,,4350.37,,,,,,Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",10.21,36.7899
TUR,Turkiye,2019,93,5.132,1.127,0.781,0.121,4.36,388.67,9215.44,4.45,96.74,103.96,111.91,117.01,Upper middle income,Europe & Central Asia,32.3606,39.7153
TUR,Turkiye,2020,104,4.948,1.26,0.59,0.104,4.62,386.26,8638.74,4.03,,103.3,112.53,118.88,Upper middle income,Europe & Central Asia,32.3606,39.7153
TUR,Turkiye,2021,112,4.744,1.707,0.702,0.115,4.56,431.34,9743.21,3.54,97.26,102.6,114.15,125.76,Upper middle income,Europe & Central Asia,32.3606,39.7153
TUR,Turkiye,2022,106,4.614,1.714,0.467,0.096,3.7,385.88,10674.5,3.1,,102.49,116.04,127.58,Upper middle income,Europe & Central Asia,32.3606,39.7153
TUR,Turkiye,2023,98,4.975,1.702,0.631,0.115,,,13105.66,,,,,,Upper middle income,Europe & Central Asia,32.3606,39.7153
TUR,Turkiye,2024,94,5.262,1.582,0.626,0.104,,,15473.29,,,,,,Upper middle income,Europe & Central Asia,32.3606,39.7153
TZA,Tanzania,2019,148,3.476,0.457,0.443,0.204,4.02,39.98,1063.32,3.6,,97.65,30.18,2.86,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
TZA,Tanzania,2020,142,3.623,0.433,0.3,0.231,3.05,31.72,1117.42,3.23,82.23,98.58,30.92,7.18,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
TZA,Tanzania,2021,139,3.702,0.848,0.425,0.27,3.47,37.56,1159.86,3.12,,98.7,28.23,3.59,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
TZA,Tanzania,2022,129,3.694,0.836,0.214,0.269,3.11,35.65,1207.85,3.24,78.21,90.62,,5.32,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
TZA,Tanzania,2023,131,3.781,0.82,0.38,0.257,,,1224.49,3.26,,95.64,,5.17,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
TZA,Tanzania,2024,136,3.8,0.847,0.411,0.243,,,1185.75,3.16,,92.69,,4.02,Lower middle income,Sub-Saharan Africa ,35.7382,-6.17486
UGA,Uganda,2019,126,4.432,0.312,0.378,0.064,3.79,33.37,822.17,2.31,,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UGA,Uganda,2020,119,4.636,0.364,0.24,0.054,5.24,44.73,845.77,2.57,,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UGA,Uganda,2021,117,4.603,0.777,0.418,0.066,5.48,51.03,882.79,2.64,79.06,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UGA,Uganda,2022,113,4.432,0.785,0.201,0.051,4.39,44.15,963.07,2.56,,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UGA,Uganda,2023,117,4.372,0.772,0.373,0.054,,,1002.31,,,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UGA,Uganda,2024,116,4.461,0.762,0.396,0.05,,,1072.71,,,,,,Low income,Sub-Saharan Africa ,32.5729,0.314269
UKR,Ukraine,2019,123,4.561,0.78,0.699,0.01,7.09,242.81,3619.86,5.44,,90.68,84.46,84.48,Upper middle income,Europe & Central Asia,30.5038,50.4536
UKR,Ukraine,2020,110,4.875,0.979,0.517,0.01,7.56,265.08,3709.77,5.38,,91.11,84.43,82.13,Upper middle income,Europe & Central Asia,30.5038,50.4536
UKR,Ukraine,2021,98,5.084,1.411,0.583,0.017,8.2,369.9,4775.95,5.14,,91.15,84.65,75.91,Upper middle income,Europe & Central Asia,30.5038,50.4536
UKR,Ukraine,2022,92,5.071,1.358,0.355,0.016,,,4199.67,,,92.77,,,Upper middle income,Europe & Central Asia,30.5038,50.4536
UKR,Ukraine,2023,105,4.873,1.35,0.513,0.025,,,5139.6,,,,,,Upper middle income,Europe & Central Asia,30.5038,50.4536
UKR,Ukraine,2024,111,4.68,1.328,0.472,0.023,,,5389.47,,,93.31,,85.27,Upper middle income,Europe & Central Asia,30.5038,50.4536
URY,Uruguay,2019,26,6.44,1.071,0.857,0.193,9.24,1692.5,18315.73,4.63,98.77,104.35,119.85,61.96,High income,Latin America & Caribbean ,-56.0675,-34.8941
URY,Uruguay,2020,31,6.431,1.164,0.649,0.223,9.07,1432.0,15757.54,4.54,98.97,105.24,116.99,64.93,High income,Latin America & Caribbean ,-56.0675,-34.8941
URY,Uruguay,2021,30,6.474,1.615,0.672,0.265,8.92,1594.98,17881.82,4.46,,107.99,119.83,75.17,High income,Latin America & Caribbean ,-56.0675,-34.8941
URY,Uruguay,2022,28,6.494,1.617,0.435,0.254,8.95,1850.81,20818.61,4.51,98.85,108.82,121.14,76.4,High income,Latin America & Caribbean ,-56.0675,-34.8941
URY,Uruguay,2023,26,6.611,1.596,0.592,0.22,,,23019.42,4.81,98.87,104.53,119.11,79.95,High income,Latin America & Caribbean ,-56.0675,-34.8941
URY,Uruguay,2024,28,6.661,1.554,0.523,0.197,,,23906.51,,98.91,,,,High income,Latin America & Caribbean ,-56.0675,-34.8941
USA,United States,2019,18,6.94,1.374,0.832,0.152,16.66,10546.01,65227.96,4.96,,100.98,100.06,87.89,High income,North America,-77.032,38.8895
USA,United States,2020,19,6.951,1.533,0.621,0.154,18.81,11672.77,64401.51,5.4,,100.31,100.51,87.57,High income,North America,-77.032,38.8895
USA,United States,2021,16,6.977,1.982,0.628,0.177,17.51,11999.09,71307.4,5.42,,98.31,101.19,84.86,High income,North America,-77.032,38.8895
USA,United States,2022,15,6.894,1.98,0.39,0.172,16.5,12434.43,77860.91,,,96.97,97.47,79.36,High income,North America,-77.032,38.8895
USA,United States,2023,23,6.725,1.939,0.542,0.169,,,82304.62,,,,,,High income,North America,-77.032,38.8895
USA,United States,2024,24,6.724,1.839,0.604,0.161,,,85809.9,,,,,,High income,North America,-77.032,38.8895
UZB,Uzbekistan,2019,38,6.258,0.697,0.717,0.28,5.4,98.62,2041.38,6.3,100.0,98.26,96.21,13.03,Lower middle income,Europe & Central Asia,69.269,41.3052
UZB,Uzbekistan,2020,42,6.179,0.769,0.528,0.271,6.71,120.29,1978.28,4.44,,98.62,90.06,15.97,Lower middle income,Europe & Central Asia,69.269,41.3052
UZB,Uzbekistan,2021,53,6.063,1.219,0.6,0.24,7.7,156.45,2258.52,4.14,100.0,97.93,97.26,22.09,Lower middle income,Europe & Central Asia,69.269,41.3052
UZB,Uzbekistan,2022,54,6.014,1.227,0.375,0.208,7.36,169.43,2578.67,5.23,100.0,93.91,97.38,31.7,Lower middle income,Europe & Central Asia,69.269,41.3052
UZB,Uzbekistan,2023,47,6.195,1.212,0.539,0.215,,,2878.97,5.47,,93.49,97.38,45.76,Lower middle income,Europe & Central Asia,69.269,41.3052
UZB,Uzbekistan,2024,53,6.193,1.179,0.654,0.208,,,3161.7,,,94.43,96.84,56.52,Lower middle income,Europe & Central Asia,69.269,41.3052
VNM,Viet Nam,2019,83,5.353,0.718,0.819,0.09,4.97,171.15,3440.9,3.08,95.75,103.34,94.65,30.22,Lower middle income,East Asia & Pacific,105.825,21.0069
VNM,Viet Nam,2020,79,5.411,0.817,0.616,0.091,4.33,153.1,3534.04,3.22,,102.85,93.19,,Lower middle income,East Asia & Pacific,105.825,21.0069
VNM,Viet Nam,2021,77,5.485,1.252,0.611,0.105,4.54,168.08,3704.19,2.95,,103.39,92.77,41.96,Lower middle income,East Asia & Pacific,105.825,21.0069
VNM,Viet Nam,2022,65,5.763,1.349,0.381,0.122,4.59,188.9,4147.7,2.89,96.13,104.13,93.41,44.75,Lower middle income,East Asia & Pacific,105.825,21.0069
VNM,Viet Nam,2023,54,6.043,1.331,0.539,0.16,,,4323.35,,,105.17,,32.84,Lower middle income,East Asia & Pacific,105.825,21.0069
VNM,Viet Nam,2024,46,6.352,1.278,0.631,0.174,,,4717.29,,,106.33,,37.59,Lower middle income,East Asia & Pacific,105.825,21.0069
XKX,Kosovo,2019,35,6.325,0.84,0.673,0.009,,,4416.0,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
XKX,Kosovo,2020,33,6.372,0.937,0.483,0.014,,,4310.89,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
XKX,Kosovo,2021,32,6.455,1.362,0.569,0.035,,,5270.43,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
XKX,Kosovo,2022,34,6.368,1.374,0.372,0.045,,,5290.95,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
XKX,Kosovo,2023,29,6.561,1.364,0.599,0.073,,,6221.2,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
XKX,Kosovo,2024,29,6.659,1.281,0.896,0.087,,,7299.43,,,,,,Upper middle income,Europe & Central Asia,20.926,42.565
ZAF,South Africa,2019,109,4.814,0.902,0.407,0.06,8.25,538.8,6533.71,5.91,95.02,101.12,103.79,22.24,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZAF,South Africa,2020,103,4.956,0.967,0.265,0.051,9.01,503.47,5580.6,6.17,,101.3,103.5,22.61,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZAF,South Africa,2021,91,5.194,1.425,0.361,0.046,8.67,592.53,6843.4,6.56,90.0,101.74,106.44,22.34,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZAF,South Africa,2022,85,5.275,1.417,0.149,0.019,8.77,569.84,6523.41,6.16,,102.4,104.54,23.73,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZAF,South Africa,2023,83,5.422,1.389,0.322,0.034,,,6022.54,6.12,,101.77,104.13,23.49,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZAF,South Africa,2024,95,5.213,1.283,0.142,0.043,,,6253.37,6.02,91.15,,,,Upper middle income,Sub-Saharan Africa ,28.1871,-25.746
ZMB,Zambia,2019,141,3.759,0.537,0.364,0.087,6.75,85.02,1258.99,4.42,,,,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZMB,Zambia,2020,137,4.073,0.528,0.231,0.074,6.31,60.02,951.64,3.94,81.76,,,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZMB,Zambia,2021,137,3.76,0.93,0.306,0.083,6.64,74.84,1127.16,3.11,79.95,,,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZMB,Zambia,2022,128,3.982,0.914,0.095,0.08,5.26,76.06,1447.12,3.66,79.98,,,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZMB,Zambia,2023,134,3.502,0.899,0.264,0.109,,,1330.73,4.07,82.04,,,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZMB,Zambia,2024,131,3.912,0.848,0.233,0.107,,,1235.08,,,115.55,56.79,,Lower middle income,Sub-Saharan Africa ,28.2937,-15.3982
ZWE,Zimbabwe,2019,151,3.299,0.426,0.375,0.081,3.23,55.11,1683.91,,93.23,93.43,,,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
ZWE,Zimbabwe,2020,148,3.145,0.457,0.243,0.075,2.95,51.14,1730.45,,,93.61,,,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
ZWE,Zimbabwe,2021,144,2.995,0.947,0.27,0.105,2.79,63.51,1724.39,,,92.78,,,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
ZWE,Zimbabwe,2022,134,3.204,0.758,0.069,0.117,3.63,70.66,2040.55,,,93.17,,,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
ZWE,Zimbabwe,2023,138,3.341,0.748,0.232,0.131,,,2156.03,0.38,,93.24,,,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
ZWE,Zimbabwe,2024,143,3.396,0.827,0.178,0.131,,,2656.41,,,93.08,,7.75,Lower middle income,Sub-Saharan Africa ,31.0672,-17.8312
